iter	trend_lb	er_window	er_threshold	vol_lb	rebalance	dev_sharpe	dev_ann_return	dev_max_dd	dev_turnover	status
0	42	21	0.0	21	W-FRI	0.5509	0.0362	-0.0973	0.0844	keep
1	42	21	0.0	21	ME	0.1849	0.0101	-0.1863	0.0411	discard
2	42	21	0.0	42	W-FRI	0.5004	0.0316	-0.1148	0.0769	discard
3	42	21	0.0	42	ME	0.1702	0.0089	-0.1816	0.0376	discard
4	42	21	0.0	63	W-FRI	0.4842	0.0306	-0.1183	0.0743	discard
5	42	21	0.0	63	ME	0.1951	0.0106	-0.1783	0.0364	discard
6	42	21	0.2	21	W-FRI	0.1687	0.011	-0.2545	0.2261	discard
7	42	21	0.2	21	ME	-0.0192	-0.0068	-0.2998	0.0775	discard
8	42	21	0.2	42	W-FRI	0.1439	0.0086	-0.2622	0.2251	discard
9	42	21	0.2	42	ME	-0.0163	-0.0066	-0.3046	0.0773	discard
10	42	21	0.2	63	W-FRI	0.1367	0.0079	-0.2543	0.2234	discard
11	42	21	0.2	63	ME	0.0128	-0.0038	-0.3058	0.0765	discard
12	42	21	0.3	21	W-FRI	0.4269	0.0382	-0.1979	0.2073	discard
13	42	21	0.3	21	ME	-0.0157	-0.0072	-0.3337	0.0782	discard
14	42	21	0.3	42	W-FRI	0.3836	0.0335	-0.1989	0.2066	discard
15	42	21	0.3	42	ME	-0.0093	-0.0067	-0.3265	0.0783	discard
16	42	21	0.3	63	W-FRI	0.3988	0.0351	-0.197	0.2038	discard
17	42	21	0.3	63	ME	0.0212	-0.0036	-0.3189	0.0775	discard
18	42	21	0.4	21	W-FRI	-0.0832	-0.0157	-0.3262	0.1535	discard
19	42	21	0.4	21	ME	-0.0199	-0.0079	-0.359	0.0574	discard
20	42	21	0.4	42	W-FRI	-0.1082	-0.0184	-0.3334	0.1536	discard
21	42	21	0.4	42	ME	-0.035	-0.0093	-0.358	0.0573	discard
22	42	21	0.4	63	W-FRI	-0.1004	-0.0175	-0.3361	0.152	discard
23	42	21	0.4	63	ME	-0.0345	-0.0093	-0.3586	0.0565	discard
24	42	42	0.0	21	W-FRI	0.5509	0.0362	-0.0973	0.0844	discard
25	42	42	0.0	21	ME	0.1849	0.0101	-0.1863	0.0411	discard
26	42	42	0.0	42	W-FRI	0.5004	0.0316	-0.1148	0.0769	discard
27	42	42	0.0	42	ME	0.1702	0.0089	-0.1816	0.0376	discard
28	42	42	0.0	63	W-FRI	0.4842	0.0306	-0.1183	0.0743	discard
29	42	42	0.0	63	ME	0.1951	0.0106	-0.1783	0.0364	discard
30	42	42	0.2	21	W-FRI	0.13	0.0073	-0.3584	0.1632	discard
